품목명,분쟁유형명,answer
침대,15) 선금지급 후 물품배달 전 해약 시,"소비자 귀책사유로 인한 해약시, 주문제작형 가구인 경우 가구 제작 작업 착수 이전이면 총 제품금액의 10%를 위약금으로 하며,  가구 제작 작업 착수 이후이면 실 손해 배상을 합니다.  주문제작형 이외의 가구인 경우에는 배달 3일 전까지 선금에서 물품대금의 5% 공제후 환급이며, 배달 1일 전까지 선금에서 물품대금의 10% 공제후 환급합니다.  사업자 귀책사유로 인한 해약시, 선금이 물품대금의 10% 이하인 경우 선금의 배액이며, 선금이 물품대금의 10%를 초과하는 경우 선금에서 물품대금의 10%를 가산하여 환급합니다."
,16) 수리가 불가능하여 발생한 피해," 품질보증기간 이내에 정상적인 사용 상태에서 발생한 경우 제품교환 또는구입가 환급이 가능하며, 소비자의 과실로 인하여 발생한 경우에는 구입가에서 정액감가상각비 공제 후 환급 또는 제품교환이 가능합니다.   품질보증기간 경과 후에는 정액 감가 상각한 잔여금액에 구입가의 5%를 가산하여 환급 합니다. (정액감가상각한 잔여금의 계산은 구입가 - 감가상각비)  (감가상각방법은 정액법에 의하되 내용연수는 별표Ⅳ 품목별 내용연수표를(월할 계산) 적용하며,  감가상각비=(사용연수/내용연수)× 구입가)"
가구세트,16) 수리가 불가능하여 발생한 피해," 품질보증기간 이내에 정상적인 사용 상태에서 발생한 경우 제품교환 또는구입가 환급이 가능하며, 소비자의 과실로 인하여 발생한 경우에는 구입가에서 정액감가상각비 공제 후 환급 또는 제품교환이 가능합니다.   품질보증기간 경과 후에는 정액 감가 상각한 잔여금액에 구입가의 5%를 가산하여 환급 합니다. (정액감가상각한 잔여금의 계산은 구입가 - 감가상각비)  (감가상각방법은 정액법에 의하되 내용연수는 별표Ⅳ 품목별 내용연수표를(월할 계산) 적용하며,  감가상각비=(사용연수/내용연수)× 구입가)"
서랍장,16) 수리가 불가능하여 발생한 피해," 품질보증기간 이내에 정상적인 사용 상태에서 발생한 경우 제품교환 또는구입가 환급이 가능하며, 소비자의 과실로 인하여 발생한 경우에는 구입가에서 정액감가상각비 공제 후 환급 또는 제품교환이 가능합니다.   품질보증기간 경과 후에는 정액 감가 상각한 잔여금액에 구입가의 5%를 가산하여 환급 합니다. (정액감가상각한 잔여금의 계산은 구입가 - 감가상각비)  (감가상각방법은 정액법에 의하되 내용연수는 별표Ⅳ 품목별 내용연수표를(월할 계산) 적용하며,  감가상각비=(사용연수/내용연수)× 구입가)"
싱크대,16) 수리가 불가능하여 발생한 피해," 품질보증기간 이내에 정상적인 사용 상태에서 발생한 경우 제품교환 또는구입가 환급이 가능하며, 소비자의 과실로 인하여 발생한 경우에는 구입가에서 정액감가상각비 공제 후 환급 또는 제품교환이 가능합니다.   품질보증기간 경과 후에는 정액 감가 상각한 잔여금액에 구입가의 5%를 가산하여 환급 합니다. (정액감가상각한 잔여금의 계산은 구입가 - 감가상각비)  (감가상각방법은 정액법에 의하되 내용연수는 별표Ⅳ 품목별 내용연수표를(월할 계산) 적용하며,  감가상각비=(사용연수/내용연수)× 구입가)"
침대,16) 수리가 불가능하여 발생한 피해," 품질보증기간 이내에 정상적인 사용 상태에서 발생한 경우 제품교환 또는구입가 환급이 가능하며, 소비자의 과실로 인하여 발생한 경우에는 구입가에서 정액감가상각비 공제 후 환급 또는 제품교환이 가능합니다.   품질보증기간 경과 후에는 정액 감가 상각한 잔여금액에 구입가의 5%를 가산하여 환급 합니다. (정액감가상각한 잔여금의 계산은 구입가 - 감가상각비)  (감가상각방법은 정액법에 의하되 내용연수는 별표Ⅳ 품목별 내용연수표를(월할 계산) 적용하며,  감가상각비=(사용연수/내용연수)× 구입가)"
,2) 검침착오  검침미실시  검침기재착오  전기요금 계산착오  미검침사용량 협정  검침기간 부당 등으로 인한 전기요금 과다납부,차액환급 또는 차액차감정산 합니다.
전기,2) 검침착오  검침미실시  검침기재착오  전기요금 계산착오  미검침사용량 협정  검침기간 부당 등으로 인한 전기요금 과다납부,차액환급 또는 차액차감정산 합니다.
,2) 검침착오  검침미실시 등으로 인한 가스요금 과다납부,차액환급 또는 차액차감정산 합니다.
도시가스,2) 검침착오  검침미실시 등으로 인한 가스요금 과다납부,차액환급 또는 차액차감정산 합니다.
,2) 경비시스템 성능/기능상 하자,무상수리가 가능합니다.
경비·관리서비스,2) 경비시스템 성능/기능상 하자,무상수리가 가능합니다.
방범경보장치,2) 경비시스템 성능/기능상 하자,무상수리가 가능합니다.
,2) 계약과 상이한 운송(출발 후),"여객이 입은 손해를 배상 합니다.   운송인은 자기 또는 사용인의 무과실을 입증하지 못하면 여객이 운송으로 인하여 받은 손해 및 인도를 받은 수하물의 멸실, 훼손 또는 연착으로 인한 손해를 배상할 책임을 집니다. "
택시여객운송서비스,2) 계약과 상이한 운송(출발 후),"여객이 입은 손해를 배상 합니다.   운송인은 자기 또는 사용인의 무과실을 입증하지 못하면 여객이 운송으로 인하여 받은 손해 및 인도를 받은 수하물의 멸실, 훼손 또는 연착으로 인한 손해를 배상할 책임을 집니다. "
,2) 계약서 미교부 등(법령상 계약서 교부의무가 부여되어 있는 거래의 경우),계약해제 입니다.
잡지,2) 계약서 미교부 등(법령상 계약서 교부의무가 부여되어 있는 거래의 경우),계약해제 입니다.
학습지,2) 계약서 미교부 등(법령상 계약서 교부의무가 부여되어 있는 거래의 경우),계약해제 입니다.
,2) 관객의 환급 요구 시,"공연일 10일전까지 전액환급, 공연일 7일전까지 10% 공제 후 환급, 공연일 3일전까지 20% 공제 후 환급, 공연일 1일전까지 30% 공제 후 환급, 공연당일 공연시작 전까지 90% 공제 후 환급,  단, 공연 3일전까지는 예매 후 24시간 이내 취소 시 전액환급 입니다.(비영업일은 시간계산에서 제외) (관람권을 할인 판매한 경우에는 거래가격을 기준으로 하되, 이는 사업자가 입증함.)"
각종공연관람,2) 관객의 환급 요구 시,"공연일 10일전까지 전액환급, 공연일 7일전까지 10% 공제 후 환급, 공연일 3일전까지 20% 공제 후 환급, 공연일 1일전까지 30% 공제 후 환급, 공연당일 공연시작 전까지 90% 공제 후 환급,  단, 공연 3일전까지는 예매 후 24시간 이내 취소 시 전액환급 입니다.(비영업일은 시간계산에서 제외) (관람권을 할인 판매한 경우에는 거래가격을 기준으로 하되, 이는 사업자가 입증함.)"
,2) 교육의 예약을 위반 시,"손해배상액을 지급하고 보강합니다.  학원의 귀책인 경우 분쟁해결기준은 다음과 같습니다.  수강자와 사전 협의없이 예약시간을 지키지 않은 경우, 당해 교육과정의 시간당 수강료 × 지키지 않은 교육시간수 배상 합니다.  수강자와 사전 협의를 거쳐 예약시간을 지키지 않은 경우, (당해 교육과정의 시간당 수강료 × 불참한 교육시간수) × 20% 배상 합니다.  소비자 귀책인 경우 분쟁해결기준은 다음과 같습니다.  예약시간 24시간 전에 불참을 통지한 경우 손해배상책임을 면합니다.  예약시간 24시간 전 이후부터 예약시간 12시간 전까지의 사이에 불참을 통지한 경우, (당해 교육과정의 시간당 수강료 × 불참한 교육시간수) × 10% 배상 합니다.  예약시간 12시간 전 이후부터 예약시간까지의 사이에 불참을 통지한 경우, (당해 교육과정의 시간당 수강료 × 불참한 교육시간수) × 20% 배상 합니다.  예약시간 이후에 불참을 통지하거나 무단으로 불참한 경우, (당해 교육과정의 시간당 수강료 × 불참한 교육시간수) × 50% 배상 합니다."
,2) 구입 후 15일 이내 질병 발생,"판매업소(사업자)가 제반비용을 부담하여 회복시켜 소비자에게 인도합니다.  다만, 업소 책임하의 회복기간이 30일을 경과하거나, 판매업소 관리 중 폐사 시에는 동종의 애완동물로 교환 또는 구입가 환급입니다."
애완견,2) 구입 후 15일 이내 질병 발생,"판매업소(사업자)가 제반비용을 부담하여 회복시켜 소비자에게 인도합니다.  다만, 업소 책임하의 회복기간이 30일을 경과하거나, 판매업소 관리 중 폐사 시에는 동종의 애완동물로 교환 또는 구입가 환급입니다."
애완고양이,2) 구입 후 15일 이내 질병 발생,"판매업소(사업자)가 제반비용을 부담하여 회복시켜 소비자에게 인도합니다.  다만, 업소 책임하의 회복기간이 30일을 경과하거나, 판매업소 관리 중 폐사 시에는 동종의 애완동물로 교환 또는 구입가 환급입니다."
애완동물기타,2) 구입 후 15일 이내 질병 발생,"판매업소(사업자)가 제반비용을 부담하여 회복시켜 소비자에게 인도합니다.  다만, 업소 책임하의 회복기간이 30일을 경과하거나, 판매업소 관리 중 폐사 시에는 동종의 애완동물로 교환 또는 구입가 환급입니다."
,2) 구입 후 1개월 이내에 문제 제기된 정상적인 사용 상태에서 발생한 성능/기능상의 하자(액상 누수  분무량 과다 및 과소 등)로 중요한 수리를 요할 때,제품 교환 또는 수리입니다.
,2) 구입 후 1개월 이내에 정상적인 사용 상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급 입니다.
TV,2) 구입 후 1개월 이내에 정상적인 사용 상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 구입가 환급 입니다.
,2) 구입 후 1개월 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 무상수리 입니다.
,2) 구입 후 1개월 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,품교환 또는 무상 수리입니다.
가스보일러,2) 구입 후 1개월 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,품교환 또는 무상 수리입니다.
기름보일러,2) 구입 후 1개월 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,품교환 또는 무상 수리입니다.
냉장고,2) 구입 후 1개월 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 무상수리 입니다.
노트북컴퓨터,2) 구입 후 1개월 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 무상수리 입니다.
마이크,2) 구입 후 1개월 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 무상수리 입니다.
메인보드,2) 구입 후 1개월 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 무상수리 입니다.
모형완구,2) 구입 후 1개월 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 무상수리 입니다.
미끄럼틀,2) 구입 후 1개월 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 무상수리 입니다.
믹서기,2) 구입 후 1개월 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 무상수리 입니다.
복합기,2) 구입 후 1개월 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 무상수리 입니다.
석유스토브,2) 구입 후 1개월 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 무상수리 입니다.
소형전자계산기,2) 구입 후 1개월 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 무상수리 입니다.
시계,2) 구입 후 1개월 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 무상수리 입니다.
작동완구,2) 구입 후 1개월 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 무상수리 입니다.
전기구강세정기,2) 구입 후 1개월 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 무상수리 입니다.
전기세탁기,2) 구입 후 1개월 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 무상수리 입니다.
전기온수장판,2) 구입 후 1개월 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 무상수리 입니다.
전기요,2) 구입 후 1개월 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 무상수리 입니다.
전기의류건조기,2) 구입 후 1개월 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 무상수리 입니다.
전기충전기,2) 구입 후 1개월 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 무상수리 입니다.
전자게임기구,2) 구입 후 1개월 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 무상수리 입니다.
전자수첩,2) 구입 후 1개월 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 무상수리 입니다.
차량용블랙박스,2) 구입 후 1개월 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 무상수리 입니다.
카메라,2) 구입 후 1개월 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 무상수리 입니다.
커피메이커,2) 구입 후 1개월 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 무상수리 입니다.
컴퓨터모니터(데스크탑),2) 구입 후 1개월 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 무상수리 입니다.
키보드,2) 구입 후 1개월 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 무상수리 입니다.
태블릿PC,2) 구입 후 1개월 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 무상수리 입니다.
프린터,2) 구입 후 1개월 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 무상수리 입니다.
핫플레이트,2) 구입 후 1개월 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 무상수리 입니다.
헤드폰·이어폰,2) 구입 후 1개월 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 무상수리 입니다.
휴대폰(2G),2) 구입 후 1개월 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 무상수리 입니다.
CD플레이어,2) 구입 후 1개월 이내에 정상적인 사용상태에서 발생한 성능/기능상의 하자로 중요한 수리를 요할 때,제품교환 또는 무상수리 입니다.
,2) 규격미달,"사업자의 책임 하에 교체시공하거나, 시공비 차액 환급입니다."
섀시설비,2) 규격미달,"사업자의 책임 하에 교체시공하거나, 시공비 차액 환급입니다."
,2) 균열(Cracking),"트레드(Tread)와 사이드 월(side wall)접합부 불량,  과가황에 의한 물성변화시 제품교환(교환 불가능 시  환급)입니다.   (제조상 과실에 의한 손상인 경우 적용되며, 마모율 10% 미만시 교환, 마모율 10% 이상 80% 미만시 환급이며, 환급금액 = 구입가 × (1-마모율)이며, 마모율(%)은 (표준스키드 깊이 - 잔여스키드깊이)/표준스키드깊이 × 100 임. 단, 마모율 80% 이상인 경우,수리제품,구입일로부터 3년 이상인 제품 (증빙서 없는 경우는 제조일을 기준함), 부당한 목적을 갖고 타이어를 수집하여 보상청구를 한 것이 분명한 제품의 경우 보상제외입니다.)"
,2) 금액형 상품권의 경우 잔액환급비율의 금액 이상에 상당하는 물품 등을 제공받고 그 잔액을 환급하여 줄 것을 요구하였으나 잔액 환급을 거부하는 경우,"잔액 환급 입니다.(잔액이란 구매액을 기준으로 사용비율에 따라 계산하여 남은 비율의 금액을 말함)  (금액형 상품권 잔액환급비율(=구매대금/상품권 금액) 상품권의 금액이 1만원 초과일 경우 : 100분의 60 이상 구매시, ·상품권의 금액이 1만원 이하일 경우 : 100분의 80 이상 구매시. 다수의 상품권을 동시에 사용한 경우에는 총 금액을 기준으로 함. 다만, 구매대금과 무관한 상품권은 총 금액에 포함하지 않음.)"
,2) 대리운전 기사의 운행 중 발생한 과태료 및 범칙금 발생 피해,대리운전 사업자가 해당 과태료 또는 범칙금 배상합니다.
,2) 대여개시일 당일(인도이전) 차량하자로 사용 불가능,"동급의 대체차량 제공 가능 시 대체차량 제공 또는 기 지급한 대여요금 전액환급하며, 동급의 대체차량 제공 불가능 시 기 지급한 대여요금 전액 및 총 대여예정요금의 10% 가산 후 환급 합니다."
자동차대여(렌트),2) 대여개시일 당일(인도이전) 차량하자로 사용 불가능,"동급의 대체차량 제공 가능 시 대체차량 제공 또는 기 지급한 대여요금 전액환급하며, 동급의 대체차량 제공 불가능 시 기 지급한 대여요금 전액 및 총 대여예정요금의 10% 가산 후 환급 합니다."
,2) 매매 알선 시 매도인이 부담하여야 할 비용(공과금 포함)을 매수인에게 전가하는 경우,배상 가능합니다.
중고자동차중개·매매,2) 매매 알선 시 매도인이 부담하여야 할 비용(공과금 포함)을 매수인에게 전가하는 경우,배상 가능합니다.
,2) 명의도용 계약으로 인한 피해,계약취소가 가능합니다. 
기타이동통신,2) 명의도용 계약으로 인한 피해,계약취소가 가능합니다. 
이동전화서비스,2) 명의도용 계약으로 인한 피해,계약취소가 가능합니다. 
,2) 문짝 휨,"문짝길이의 0.5% 이상일 경우 구입일로부터 6개월 이내시 제품 교환, 구입일로부터 3년 이내시 무상수리 또는 부품교환이며, 문짝길이의 0.5% 이내일 경우 구입일로부터 3년 이내시 무상수리 또는 부품 교환입니다."
식탁,2) 문짝 휨,"문짝길이의 0.5% 이상일 경우 구입일로부터 6개월 이내시 제품 교환, 구입일로부터 3년 이내시 무상수리 또는 부품교환이며, 문짝길이의 0.5% 이내일 경우 구입일로부터 3년 이내시 무상수리 또는 부품 교환입니다."
싱크대,2) 문짝 휨,"문짝길이의 0.5% 이상일 경우 구입일로부터 6개월 이내시 제품 교환, 구입일로부터 3년 이내시 무상수리 또는 부품교환이며, 문짝길이의 0.5% 이내일 경우 구입일로부터 3년 이내시 무상수리 또는 부품 교환입니다."
,2) 발급카드 수령 전 제3자에게 전달되어 부정 사용된 경우,"전액보상 입니다. (다만, 회원이 카드 미수령에 따른 사고발생 사실(타인수령 등)을 인지하였으나, 카드사에 신고를  지연함으로써 부정사용대금이 발생한 경우 과실상계 가능함.)"
,2) 부동산 중개대상물의 확인/설명을 소홀히 하여 재산상의 피해를 발생하게 한 경우,손해액 배상 입니다.
부동산중개,2) 부동산 중개대상물의 확인/설명을 소홀히 하여 재산상의 피해를 발생하게 한 경우,손해액 배상 입니다.
,2) 부작용,"치료비, 경비 및 임금배상 가능합니다."
,2) 부패  변질,당해품목 교환 또는 구입가 환급 입니다.
,2) 부패  변질,제품교환 또는 구입가 환급 입니다.
,2) 부패  변질,제품교환 또는 구입가 환급입니다.
감귤,2) 부패  변질,당해품목 교환 또는 구입가 환급 입니다.
게,2) 부패  변질,당해품목 교환 또는 구입가 환급 입니다.
고구마,2) 부패  변질,당해품목 교환 또는 구입가 환급 입니다.
곶감,2) 부패  변질,당해품목 교환 또는 구입가 환급 입니다.
김치,2) 부패  변질,제품교환 또는 구입가 환급 입니다.
딸기,2) 부패  변질,당해품목 교환 또는 구입가 환급 입니다.
무,2) 부패  변질,당해품목 교환 또는 구입가 환급 입니다.
사과,2) 부패  변질,당해품목 교환 또는 구입가 환급 입니다.
선어(생선),2) 부패  변질,당해품목 교환 또는 구입가 환급 입니다.
쇠고기포장육,2) 부패  변질,당해품목 교환 또는 구입가 환급 입니다.
유산균함유제품,2) 부패  변질,제품교환 또는 구입가 환급 입니다.
케이크,2) 부패  변질,제품교환 또는 구입가 환급 입니다.
홍삼제품,2) 부패  변질,제품교환 또는 구입가 환급 입니다.
,2) 부품의 미보유(부품보유기간 이내)로 수리가 불가능한 경우,"품질보증기간 이내 정상적인 사용상태에서 발생한 경우 필수제비용을 포함한 구입가 환급 또는 제품교환이며, 사용상 과실로 인하여 발생한 경우 구입가에서 정액감가상각비 공제 후 환급 또는 제품교환입니다.    품질보증기간 경과 후에는  필수제비용을 포함한 구입가에서 정액 감가상각한 잔여금액에 필수제비용을 포함한 구입가의 10%를 가산하여 환급  (감가상각방법은 정액법에 의하되 내용연수(월할계산)를 적용 .감가상각비계산은  (사용연수/내용연수)/ 구입가(필수제비용포함 : 등록세, 취득세, 교육세, 번호판대 등)로 하고, 감가 상각한 잔여금의 계산은 구입가 - 감가상각비 임)"
,2) 분실 또는 소실,"손해배상 입니다.  1. 배상액의 산정방식   배상액= 물품구입가격× 배상비율(배상비율표 참조) 다만, 소비자와 세탁업자간의 배상에 대한 특약이 있는 경우에는 그에 따름.  2. 손해배상액의 감액  세탁물의 손상 등에 대하여 고객도 일부 책임이 있는 경우에는 세탁업자의 손해배상액에서 그에 해당하는 금액을 공제하며,  고객이 손상된 세탁물을 인도받기를 원하는 경우에는 배상액의 일부를 감액할 수 있음.  3. 배상의무의 면제   고객이 세탁물에 이상이 없다는 확인서를 세탁업자에게 교부했을 때는 세탁업자는 세탁물 하자에 대한 보수나 손해배상책임을 면함. 이 경우 확인서는 인수증에 날인 또는 기명하는 것으로 대신할 수 있음, 단 고객이 이상 없음을 확인하였더라도 추후 세탁업자의 고의, 과실이 있음을 입증한 경우에는 면책되지 않음.   또한, 세탁업자는 다음 각호의 경우 세탁물의 하자 또는 세탁의 지체로 인한 소비자피해에 대해 면책됨.( 세탁업자의 세탁물 회수에 대한 통지에도 불구하고 통지도달일로부터 30일이 경과하도록 미회수하는 경우,고객이 세탁완성예정일(고객의 동의로 완성예정일이 연기된 경우 연기된 완성예정일)의 다음날부터 3개월간 완성된 세탁물을 미회수하는 경우  4. 세탁물 확인의무  세탁업자는 세탁물 인수 시 의뢰받은 세탁물상의 하자여부를 확인할 책임이 있음.  5. 세탁물 인수증 교부의무  세탁업자는 세탁물 인수 시세탁업자의 상호, 주소 및 전화번호/ 고객의 성명, 주소 및 전화번호/세탁물 인수일/ 세탁완성 예정일/ 세탁물의 구입가격 및 구입일(20만원 이상제품의 경우)/ 세탁물의 품명, 수량 및 세탁요금/ 피해발생 시 손해배상기준/ 기타사항(세탁물보관료, 세탁물의 하자유무, 특약사항)의 내용을 기재한 인수증을 교부하여야 함. 인수증 미교부 시 세탁물 분실에 대해서는 세탁업소에서 책임을 짐.  5-1. 손해배상대상세탁물   손해배상의 산정기준은 인수증에 기재된 바에 따름. 단 세탁업자가 세탁물의 품명, 구입가격, 구입일이 인수증의 기재내용과 상이함을 증명한 경우에는 그에 따름. 세탁업자가 손해배상 산정에 필요한 인수증 기재사항을 누락했거나 또는 인수증을 교부하지 않은 경우에는 고객이 입증하는 내용(세탁물의 품명, 구입가격, 구입일 등)을 기준으로 함. 고객이 세탁물의 품명, 구입가격, 구입일 등을 입증하지 못하여 배상액 산정이 불가한 경우에는 세탁업자는 고객에게 세탁요금의 20배를 배상함.  6. Set의류의 배상액 산정기준   양복 상하와 같이 2점 이상이 1벌일 때는 1벌 전체를 기준으로 하여 배상액을 산정함. 단, 소비자가 1벌 중 일부만을 세탁업자에게 세탁의뢰 하였을 경우에는 그 일부에 대하여만 배상함.  7. Set의류의 배상액 배분    상 하의가 한 Set인 경우：상의 65%, 하의 35% / 상 중 하의가 한 Set인 경우：상의 55%, 하의 35%, 중의 10%/ 한복 중 치마저고리, 바지저고리는 상의50%, 하의50% /세트의류라 하더라도 각각의 가격이 정해져 있는 경우는 그 가격에 따름.  8. 탈부착용 부속물(털, 칼라, 모자 등)이 손상된 경우는 동 부속물만을 대상으로 배상액을 결정함. 단, 부속물이 해당 의류의 기능 발휘에 없어서는 안될 필수적인 경우(방한복의 모자 등)에는 의류 전체를 기준으로 배상액을 산정함."
양복(서양식 의복)세탁,2) 분실 또는 소실,"손해배상 입니다.  1. 배상액의 산정방식   배상액= 물품구입가격× 배상비율(배상비율표 참조) 다만, 소비자와 세탁업자간의 배상에 대한 특약이 있는 경우에는 그에 따름.  2. 손해배상액의 감액  세탁물의 손상 등에 대하여 고객도 일부 책임이 있는 경우에는 세탁업자의 손해배상액에서 그에 해당하는 금액을 공제하며,  고객이 손상된 세탁물을 인도받기를 원하는 경우에는 배상액의 일부를 감액할 수 있음.  3. 배상의무의 면제   고객이 세탁물에 이상이 없다는 확인서를 세탁업자에게 교부했을 때는 세탁업자는 세탁물 하자에 대한 보수나 손해배상책임을 면함. 이 경우 확인서는 인수증에 날인 또는 기명하는 것으로 대신할 수 있음, 단 고객이 이상 없음을 확인하였더라도 추후 세탁업자의 고의, 과실이 있음을 입증한 경우에는 면책되지 않음.   또한, 세탁업자는 다음 각호의 경우 세탁물의 하자 또는 세탁의 지체로 인한 소비자피해에 대해 면책됨.( 세탁업자의 세탁물 회수에 대한 통지에도 불구하고 통지도달일로부터 30일이 경과하도록 미회수하는 경우,고객이 세탁완성예정일(고객의 동의로 완성예정일이 연기된 경우 연기된 완성예정일)의 다음날부터 3개월간 완성된 세탁물을 미회수하는 경우  4. 세탁물 확인의무  세탁업자는 세탁물 인수 시 의뢰받은 세탁물상의 하자여부를 확인할 책임이 있음.  5. 세탁물 인수증 교부의무  세탁업자는 세탁물 인수 시세탁업자의 상호, 주소 및 전화번호/ 고객의 성명, 주소 및 전화번호/세탁물 인수일/ 세탁완성 예정일/ 세탁물의 구입가격 및 구입일(20만원 이상제품의 경우)/ 세탁물의 품명, 수량 및 세탁요금/ 피해발생 시 손해배상기준/ 기타사항(세탁물보관료, 세탁물의 하자유무, 특약사항)의 내용을 기재한 인수증을 교부하여야 함. 인수증 미교부 시 세탁물 분실에 대해서는 세탁업소에서 책임을 짐.  5-1. 손해배상대상세탁물   손해배상의 산정기준은 인수증에 기재된 바에 따름. 단 세탁업자가 세탁물의 품명, 구입가격, 구입일이 인수증의 기재내용과 상이함을 증명한 경우에는 그에 따름. 세탁업자가 손해배상 산정에 필요한 인수증 기재사항을 누락했거나 또는 인수증을 교부하지 않은 경우에는 고객이 입증하는 내용(세탁물의 품명, 구입가격, 구입일 등)을 기준으로 함. 고객이 세탁물의 품명, 구입가격, 구입일 등을 입증하지 못하여 배상액 산정이 불가한 경우에는 세탁업자는 고객에게 세탁요금의 20배를 배상함.  6. Set의류의 배상액 산정기준   양복 상하와 같이 2점 이상이 1벌일 때는 1벌 전체를 기준으로 하여 배상액을 산정함. 단, 소비자가 1벌 중 일부만을 세탁업자에게 세탁의뢰 하였을 경우에는 그 일부에 대하여만 배상함.  7. Set의류의 배상액 배분    상 하의가 한 Set인 경우：상의 65%, 하의 35% / 상 중 하의가 한 Set인 경우：상의 55%, 하의 35%, 중의 10%/ 한복 중 치마저고리, 바지저고리는 상의50%, 하의50% /세트의류라 하더라도 각각의 가격이 정해져 있는 경우는 그 가격에 따름.  8. 탈부착용 부속물(털, 칼라, 모자 등)이 손상된 경우는 동 부속물만을 대상으로 배상액을 결정함. 단, 부속물이 해당 의류의 기능 발휘에 없어서는 안될 필수적인 경우(방한복의 모자 등)에는 의류 전체를 기준으로 배상액을 산정함."
,2) 불가항력적 사유(강설  폭우  안개  기타 천재지변 등)로 경기를 지속하지 못하는 경우 환급,"입장절차 후 이용자팀 전원이 1번째 홀까지 경기를 마치지 못한 경우에는 제세공과금을 제외한 이용요금 전액을 환급하며, 9번째 홀까지 경기를 마치지 못하게 된 경우 (이 기준을 적용함에 있어 골프장이 9개홀인 경우는 5번홀, 6개 홀인 경우는 3번홀로 함.) 제세공과금을 제외한 이용요금의 50% 환급합니다."
,2) 불완전 연소,제품 교환입니다.
,2) 사업자 귀책사유로 인한 계약해제/해지 및 손해발생,"행사개시 이전 시 계약해제(기납입액 환급)이며, 행사개시 이후에는 손해배상 입니다. "
